COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8,T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, MARKER_HARDWARE, ES_TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
88,0,1703,4155.25641025641,4176.02564102564,4180,4170.12820512821,4169.48717948718,4165.12820512821,4165.64102564103,4252.69230769231,4171.41025641026,4182.82051282051,4112.69230769231,4160,4177.4358974359,4165.89743589744,0,0,21.1421706151208,0,21.1103534698486,0,0,0,0
89,0,1110,4155.51282051282,4184.10256410256,4182.5641025641,4170.38461538462,4180.89743589744,4171.66666666667,4172.69230769231,4253.58974358974,4174.48717948718,4188.46153846154,4119.35897435897,4162.05128205128,4180.51282051282,4162.17948717949,0,0,21.1500513119014,0,21.1103534698486,0,0,0,0
90,0,3370,4156.41025641026,4179.8717948718,4176.92307692308,4170.12820512821,4175.25641025641,4168.07692307692,4170.25641025641,4246.66666666667,4169.35897435897,4183.20512820513,4113.46153846154,4156.15384615385,4182.4358974359,4158.20512820513,0,0,21.1579320086819,0,21.1103534698486,0,0,0,0
91,0,1329,4155,4168.07692307692,4175.89743589744,4162.69230769231,4166.41025641026,4161.02564102564,4166.53846153846,4242.94871794872,4165.64102564103,4175.12820512821,4110,4154.74358974359,4179.10256410256,4158.58974358974,0,0,21.1657127054625,0,21.1103534698486,0,0,0,0
92,0,1703,4151.79487179487,4164.10256410256,4176.15384615385,4155.76923076923,4168.46153846154,4159.8717948718,4168.84615384615,4243.97435897436,4168.58974358974,4172.17948717949,4112.05128205128,4155.64102564103,4171.28205128205,4154.61538461538,0,0,21.1734934022431,0,21.1103534698486,0,0,0,0
93,0,1110,4153.97435897436,4168.46153846154,4179.35897435897,4156.53846153846,4169.74358974359,4166.02564102564,4174.74358974359,4247.05128205128,4172.05128205128,4175,4111.92307692308,4160.51282051282,4168.07692307692,4158.46153846154,0,0,21.1813723942415,0,21.1103534698486,0,0,0,0
94,0,3370,4149.10256410256,4168.71794871795,4176.66666666667,4157.5641025641,4168.46153846154,4168.84615384615,4177.94871794872,4250,4172.82051282051,4175.38461538462,4109.74358974359,4160.38461538462,4169.23076923077,4161.28205128205,0,0,21.1893513862399,0,21.1103534698486,0,0,0,0
95,0,1329,4141.41025641026,4162.5641025641,4173.33333333333,4154.23076923077,4166.79487179487,4166.79487179487,4173.58974358974,4248.58974358974,4172.05128205128,4172.30769230769,4107.82051282051,4154.35897435897,4168.46153846154,4152.69230769231,0,0,21.1973303782382,0,21.1103534698486,0,0,0,0
96,0,1703,4145.89743589744,4161.02564102564,4178.84615384615,4153.46153846154,4165.51282051282,4168.71794871795,4168.58974358974,4246.41025641026,4172.4358974359,4174.10256410256,4109.10256410256,4155.76923076923,4167.4358974359,4153.07692307692,0,0,21.2053093702366,0,21.1103534698486,0,0,0,0
97,0,1110,4149.23076923077,4166.92307692308,4175,4160.64102564103,4169.10256410256,4170.64102564103,4170.38461538462,4247.17948717949,4173.20512820513,4177.82051282051,4113.33333333333,4155.51282051282,4171.15384615385,4159.8717948718,0,0,21.2131900498647,0,21.1103534698486,0,0,0,0
